clade,order,family,genus,cluster,NucleicAcid,species
Hepe-Virga,NA,Virgaviridae,Tobamovirus,Virga,ssRNA(+),Frangipani mosaic virus
Hepe-Virga,NA,Virgaviridae,Tobravirus,Virga,ssRNA(+),Tobacco rattle virus
Hepe-Virga,NA,Virgaviridae,NA,Virga,ssRNA(+),Beet soil-borne virus
Hepe-Virga,NA,Virgaviridae,NA,Virga,ssRNA(+),Cucumber fruit mottle mosaic virus
Hepe-Virga,NA,Virgaviridae,NA,Virga,ssRNA(+),Drakaea virus A
Hepe-Virga,NA,Virgaviridae,NA,Virga,ssRNA(+),Macrophomina phaseolina tobamo-like virus
Hepe-Virga,NA,Virgaviridae,NA,Virga,ssRNA(+),Peanut clump virus
Luteo-Sobemo,NA,Luteoviridae,NA,Luteo,ssRNA(+),Barley yellow dwarf virus-PAV
Luteo-Sobemo,NA,Luteoviridae,NA,Luteo,ssRNA(+),Bean leafroll virus
Luteo-Sobemo,NA,Luteoviridae,NA,Luteo,ssRNA(+),Bat luteovirus
Luteo-Sobemo,NA,NA,NA,Luteo-Sobemo_unclass,ssRNA(+),Ixodes scapularis associated virus 1
Luteo-Sobemo,NA,NA,NA,Luteo-Sobemo_unclass,ssRNA(+),Wenzhou sobemo-like virus 3
Luteo-Sobemo,NA,NA,NA,Luteo-Sobemo_unclass,ssRNA(+),Hubei mosquito virus 2
Luteo-Sobemo,NA,NA,NA,Luteo-Sobemo_unclass,ssRNA(+),Hubei sobemo-like virus 29
Luteo-Sobemo,NA,NA,NA,Luteo-Sobemo_unclass,ssRNA(+),Braid Burn virus
Luteo-Sobemo,NA,NA,NA,Luteo-Sobemo_unclass,ssRNA(+),La Tardoire virus
Luteo-Sobemo,NA,NA,NA,Luteo-Sobemo_unclass,ssRNA(+),Humaita-Tubiacanga virus
Luteo-Sobemo,NA,NA,NA,Luteo-Sobemo_unclass,ssRNA(+),Culex luteo-like virus
Luteo-Sobemo,NA,NA,NA,Luteo-Sobemo_unclass,ssRNA(+),Hubei sobemo-like virus 33
